rotulo,cl_bday,classe_idade
1,-1,-1
0,26,-4
1,-1,-1
0,34,-4
1,54,-5
0,-2,0
1,49,-5
0,-1,-1
1,39,-4
0,38,-4
1,-1,-1
0,55,-5
1,60,0
0,30,-4
1,36,-4
0,71,-6
1,25,-4
0,-1,-1
1,50,-5
0,-1,-1
1,69,-6
0,-1,-1
1,91,-6
0,45,-5
1,19,-4
0,32,-4
1,43,-5
0,44,-5
1,45,-5
0,50,-5
1,40,0
0,28,-4
1,67,-6
0,23,-4
1,34,-4
0,45,-5
1,41,-5
0,41,-5
1,43,-5
0,60,0
1,35,-4
0,34,-4
1,35,-4
0,31,-4
1,23,-4
0,59,-5
1,58,-5
0,39,-4
1,-1,-1
0,34,-4
1,-1,-1
0,-1,-1
1,45,-5
0,73,-6
1,63,-6
0,54,-5
1,-1,-1
0,54,-5
1,54,-5
0,56,-5
1,41,-5
0,32,-4
1,54,-5
0,-1,-1
1,37,-4
0,-1,-1
1,63,-6
0,29,-4
1,43,-5
0,25,-4
1,67,-6
0,36,-4
1,-1,-1
0,58,-5
1,39,-4
0,35,-4
1,38,-4
0,66,-6
1,-1,-1
0,31,-4
1,32,-4
0,32,-4
1,39,-4
0,55,-5
1,49,-5
0,28,-4
1,58,-5
0,50,-5
1,39,-4
0,52,-5
1,45,-5
0,38,-4
1,24,-4
0,-1,-1
1,42,-5
0,29,-4
1,34,-4
0,55,-5
1,64,-6
0,46,-5
1,45,-5
0,-1,-1
1,33,-4
0,26,-4
1,-1,-1
0,30,-4
1,30,-4
0,40,0
1,62,-6
0,45,-5
1,-1,-1
0,34,-4
1,40,0
0,35,-4
1,30,-4
0,61,-6
1,52,-5
0,54,-5
1,65,-6
0,-1,-1
1,45,-5
0,34,-4
1,33,-4
0,65,-6
1,49,-5
0,57,-5
1,43,-5
0,38,-4
1,42,-5
0,34,-4
1,64,-6
0,-1,-1
1,40,0
0,57,-5
1,60,0
0,40,0
1,46,-5
0,57,-5
1,67,-6
0,-1,-1
1,60,0
0,59,-5
1,72,-6
0,31,-4
1,29,-4
0,71,-6
1,34,-4
0,27,-4
1,25,-4
0,35,-4
1,43,-5
0,53,-5
1,65,-6
0,-1,-1
1,-1,-1
0,24,-4
1,66,-6
0,29,-4
1,32,-4
0,31,-4
1,23,-4
0,73,-6
1,33,-4
0,55,-5
1,37,-4
0,72,-6
1,46,-5
0,40,0
1,28,-4
0,-1,-1
1,50,-5
0,-1,-1
1,67,-6
0,32,-4
1,-1,-1
0,29,-4
1,-1,-1
0,26,-4
1,-1,-1
0,53,-5
1,60,0
0,-1,-1
1,56,-5
0,41,-5
1,24,-4
0,30,-4
1,32,-4
0,50,-5
1,61,-6
0,62,-6
1,42,-5
0,64,-6
1,34,-4
0,-1,-1
1,67,-6
0,20,-4
1,30,-4
0,37,-4
1,-1,-1
